7.1.0	This NASA image is a composite of several satellite-based views of Earth.
7.28.18	While sponges (excluding the hexactinellids) do not exhibit tissue-layer organization, they do have different cell types that perform distinct functions.
7.28.19	Pinacocytes, which are epithelial-like cells, form the outermost layer of sponges and enclose a jelly-like substance called mesohyl.
7.28.20	Mesohyl is an extracellular matrix consisting of a collagen-like gel with suspended cells that perform various functions.
7.28.21	The gel-like consistency of mesohyl acts like an endoskeleton and maintains the tubular morphology of sponges.
7.28.22	In addition to the osculum, sponges have multiple pores called ostia on their bodies that allow water to enter the sponge.
7.28.23	In some sponges, ostia are formed by porocytes, single tube-shaped cells that act as valves to regulate the flow of water into the spongocoel.
7.28.24	In other sponges, ostia are formed by folds in the body wall of the sponge.
7.28.25	Choanocytes (“collar cells”) are present at various locations, depending on the type of sponge, but they always line the inner portions of some space through which water flows (the spongocoel in simple sponges, canals within the body wall in more complex sponges, and chambers scattered throughout the body in the most complex sponges).
7.28.26	Whereas pinacocytes line the outside of the sponge, choanocytes tend to line certain inner portions of the sponge body that surround the mesohyl.
7.28.27	The structure of a choanocyte is critical to its function, which is to generate a water current through the sponge and to trap and ingest food particles by phagocytosis.
7.28.28	Note the similarity in appearance between the sponge choanocyte and choanoflagellates (Protista).
7.28.29	This similarity suggests that sponges and choanoflagellates are closely related and likely share a recent common ancestry.
7.28.30	The cell body is embedded in mesohyl and contains all organelles required for normal cell function, but protruding into the “open space” inside of the sponge is a mesh-like collar composed of microvilli with a single flagellum in the center of the column.
7.28.31	The cumulative effect of the flagella from all choanocytes aids the movement of water through the sponge: drawing water into the sponge through the numerous ostia, into the spaces lined by choanocytes, and eventually out through the osculum (or osculi).
7.28.32	In the meantime, food particles, including waterborne bacteria and algae, are trapped by the sieve-like collar of the choanocytes, slide down into the body of the cell, are ingested by phagocytosis, and become encased in a food vacuole.
7.28.33	Lastly, choanocytes will differentiate into sperm for sexual reproduction, where they will become dislodged from the mesohyl and leave the sponge with expelled water through the osculum.
7.28.34	The second crucial cells in sponges are called amoebocytes (or archaeocytes), named for the fact that they move throughout the mesohyl in an amoeba-like fashion.
7.28.35	Amoebocytes have a variety of functions: delivering nutrients from choanocytes to other cells within the sponge, giving rise to eggs for sexual reproduction (which remain in the mesohyl), delivering phagocytized sperm from choanocytes to eggs, and differentiating into more-specific cell types.
7.28.36	Some of these morespecific cell types include collencytes and lophocytes, which produce the collagen-like protein to maintain the mesohyl, sclerocytes, which produce spicules in some sponges, and spongocytes, which produce the protein spongin in the majority of sponges.
7.28.37	These cells produce collagen to maintain the consistency of the mesohyl.
7.28.38	The different cell types in sponges are shown in Figure 28.3.
7.28.39	In some sponges, sclerocytes secrete small spicules into the mesohyl, which are composed of either calcium carbonate or silica, depending on the type of sponge.
7.28.40	These spicules serve to provide additional stiffness to the body of the sponge.
7.28.41	The presence and composition of spicules/spongin are the differentiating characteristics of the three classes of sponges (Figure 28.4): Class Calcarea contains calcium carbonate spicules and no spongin, class Hexactinellida contains six-rayed siliceous spicules and no spongin, and class Demospongia contains spongin and may or may not have spicules; if present, those spicules are siliceous.
7.28.42	Spicules are most conspicuously present in class Hexactinellida, the order consisting of glass sponges.
7.28.43	Some of the spicules may attain giant proportions (in relation to the typical size range of glass sponges of 3 to 10 mm) as seen in Monorhaphis chuni, which grows up to 3 m long.
7.28.44	Clathrina clathrus belongs to class Calcarea, (b) Staurocalyptus spp.
7.28.45	(common name: yellow Picasso sponge) belongs to class Hexactinellida, and (c) Acarnus erithacus belongs to class Demospongia.
7.28.46	Physiological Processes in Sponges Sponges, despite being simple organisms, regulate their different physiological processes through a variety of mechanisms.
7.28.47	These processes regulate their metabolism, reproduction, and locomotion.
7.28.48	Digestion Sponges lack complex digestive, respiratory, circulatory, reproductive, and nervous systems.
7.28.49	Their food is trapped when water passes through the ostia and out through the osculum.
7.28.50	Bacteria smaller than 0.5 microns in size are trapped by choanocytes, which are the principal cells engaged in nutrition, and are ingested by phagocytosis.
7.28.51	Particles that are larger than the ostia may be phagocytized by pinacocytes.
7.28.52	In some sponges, amoebocytes transport food from cells that have ingested food particles to those that do not.
7.28.53	For this type of digestion, in which food particles are digested within individual cells, the sponge draws water through diffusion.
7.28.54	The limit of this type of digestion is that food particles must be smaller than individual cells.
7.28.55	All other major body functions in the sponge (gas exchange, circulation, excretion) are performed by diffusion between the cells that line the openings within the sponge and the water that is passing through those openings.
7.28.56	All cell types within the sponge obtain oxygen from water through diffusion.
7.28.57	Likewise, carbon dioxide is released into seawater by diffusion.
7.28.58	In addition, nitrogenous waste produced as a byproduct of protein metabolism is excreted via diffusion by individual cells into the water as it passes through the sponge.
7.28.59	Reproduction Sponges reproduce by sexual as well as asexual methods.
7.28.60	The typical means of asexual reproduction is either fragmentation (where a piece of the sponge breaks off, settles on a new substrate, and develops into a new individual) or budding (a genetically identical outgrowth grows from the parent and eventually detaches or remains attached to form a colony).
7.28.61	An atypical type of asexual reproduction is found only in freshwater sponges and occurs through the formation of gemmules.
7.28.62	Gemmules are environmentally resistant structures produced by adult sponges wherein the typical sponge morphology is inverted.
7.28.63	In gemmules, an inner layer of amoebocytes is surrounded by a layer of collagen (spongin) that may be reinforced by spicules.
7.28.64	The collagen that is normally found in the mesohyl becomes the outer protective layer.
7.28.65	In freshwater sponges, gemmules may survive hostile environmental conditions like changes in temperature and serve to recolonize the habitat once environmental conditions stabilize.
7.28.66	Gemmules are capable of attaching to a substratum and generating a new sponge.
7.28.67	Since gemmules can withstand harsh environments, are resistant to desiccation, and remain dormant for long periods, they are an excellent means of colonization for a sessile organism.
7.28.68	Sexual reproduction in sponges occurs when gametes are generated.
7.28.69	Sponges are monoecious (hermaphroditic), which means that one individual can produce both gametes (eggs and sperm) simultaneously.
7.28.70	In some sponges, production of gametes may occur throughout the year, whereas other sponges may show sexual cycles depending upon water temperature.
7.28.71	Sponges may also become sequentially hermaphroditic, producing oocytes first and spermatozoa later.
7.28.72	Oocytes arise by the differentiation of amoebocytes and are retained within the spongocoel, whereas spermatozoa result from the differentiation of choanocytes and are ejected via the osculum.
7.28.73	Ejection of spermatozoa may be a timed and coordinated event, as seen in certain species.
7.28.74	Spermatozoa carried along by water currents can fertilize the oocytes borne in the mesohyl of other sponges.
7.28.75	Early larval development occurs within the sponge, and free-swimming larvae are then released via the osculum.
7.28.76	Locomotion Sponges are generally sessile as adults and spend their lives attached to a fixed substratum.
7.28.77	They do not show movement over large distances like other free-swimming marine invertebrates.
7.28.78	However, sponge cells are capable of creeping along substrata via organizational plasticity.
7.28.79	Under experimental conditions, researchers have shown that sponge cells spread on a physical support demonstrate a leading edge for directed movement.
7.28.80	It has been speculated that this localized creeping movement may help sponges adjust to microenvironments near the point of attachment.
7.28.81	It must be noted, however, that this pattern of movement has been documented in laboratories, but it remains to be observed in natural sponge habitats.
7.28.82	Phylum Cnidaria includes animals that show radial or biradial symmetry and are diploblastic, that is, they develop from two embryonic layers.
7.28.83	Nearly all (about 99 percent) cnidarians are marine species.
7.28.84	Cnidarians contain specialized cells known as cnidocytes (“stinging cells”) containing organelles called nematocysts (stingers).
7.28.85	These cells are present around the mouth and tentacles, and serve to immobilize prey with toxins contained within the cells.
7.28.86	Nematocysts contain coiled threads that may bear barbs.
7.28.87	The outer wall of the cell has hairlike projections called cnidocils, which are sensitive to touch.
7.28.88	When touched, the cells are known to fire coiled threads that can either penetrate the flesh of the prey or predators of cnidarians (see Figure 28.5) or ensnare it.
7.28.89	These coiled threads release toxins into the target and can often immobilize prey or scare away predators.
7.28.90	Animals from the phylum Cnidaria have stinging cells called cnidocytes.
7.28.91	Cnidocytes contain large organelles called (a) nematocysts that store a coiled thread and barb.
7.28.92	When hairlike projections on the cell surface are touched, (b) the thread, barb, and a toxin are fired from the organelle.
7.28.93	Animals in this phylum display two distinct morphological body plans: polyp or “stalk” and medusa or “bell
7.28.94	” (Figure 28.6).
7.28.95	An example of the polyp form is Hydra spp.; perhaps the most well-known medusoid animals are the jellies (jellyfish).
7.28.96	Polyp forms are sessile as adults, with a single opening to the digestive system (the mouth) facing up with tentacles surrounding it.
7.28.97	Medusa forms are motile, with the mouth and tentacles hanging down from an umbrella-shaped bell.
7.28.98	Cnidarians have two distinct body plans, the medusa (a) and the polyp (b).
7.28.99	All cnidarians have two membrane layers, with a jelly-like mesoglea between them.
7.28.100	Some cnidarians are polymorphic, that is, they have two body plans during their life cycle.
7.28.101	An example is the colonial hydroid called an Obelia.
7.28.102	The sessile polyp form has, in fact, two types of polyps, shown in Figure 28.7.
7.28.103	The first is the gastrozooid, which is adapted for capturing prey and feeding; the other type of polyp is the gonozooid, adapted for the asexual budding of medusa.
7.28.104	When the reproductive buds mature, they break off and become free-swimming medusa, which are either male or female (dioecious).
7.28.105	The male medusa makes sperm, whereas the female medusa makes eggs.
7.28.106	After fertilization, the zygote develops into a blastula, which develops into a planula larva.
7.28.107	The larva is free swimming for a while, but eventually attaches and a new colonial reproductive polyp is formed.
7.28.108	The sessile form of Obelia geniculate has two types of polyps: gastrozooids, which are adapted for capturing prey, and gonozooids, which bud to produce medusae asexually.
7.28.109	All cnidarians show the presence of two membrane layers in the body that are derived from the endoderm and ectoderm of the embryo.
7.28.110	The outer layer (from ectoderm) is called the epidermis and lines the outside of the animal, whereas the inner layer (from endoderm) is called the gastrodermis and lines the digestive cavity.
7.28.111	Between these two membrane layers is a non-living, jelly-like mesoglea connective layer.
7.28.112	In terms of cellular complexity, cnidarians show the presence of differentiated cell types in each tissue layer, such as nerve cells, contractile epithelial cells, enzyme-secreting cells, and nutrient-absorbing cells, as well as the presence of intercellular connections.
7.28.113	However, the development of organs or organ systems is not advanced in this phylum.
7.28.114	The nervous system is primitive, with nerve cells scattered across the body.
7.28.115	This nerve net may show the presence of groups of cells in the form of nerve plexi (singular plexus) or nerve cords.
7.28.116	The nerve cells show mixed characteristics of motor as well as sensory neurons.
7.28.117	The predominant signaling molecules in these primitive nervous systems are chemical peptides, which perform both excitatory and inhibitory functions.
7.28.118	Despite the simplicity of the nervous system, it coordinates the movement of tentacles, the drawing of captured prey to the mouth, the digestion of food, and the expulsion of waste.
7.28.119	The cnidarians perform extracellular digestion in which the food is taken into the gastrovascular cavity, enzymes are secreted into the cavity, and the cells lining the cavity absorb nutrients.
7.28.120	The gastrovascular cavity has only one opening that serves as both a mouth and an anus, which is termed an incomplete digestive system.
7.28.121	Cnidarian cells exchange oxygen and carbon dioxide by diffusion between cells in the epidermis with water in the environment, and between cells in the gastrodermis with water in the gastrovascular cavity.
7.28.122	The lack of a circulatory system to move dissolved gases limits the thickness of the body wall and necessitates a non-living mesoglea between the layers.
7.28.123	There is no excretory system or organs, and nitrogenous wastes simply diffuse from the cells into the water outside the animal or in the gastrovascular cavity.
7.28.124	There is also no circulatory system, so nutrients must move from the cells that absorb them in the lining of the gastrovascular cavity through the mesoglea to other cells.
7.28.125	The phylum Cnidaria contains about 10,000 described species divided into four classes:
7.28.126	Anthozoa, Scyphozoa, Cubozoa, and Hydrozoa.
7.28.127	The anthozoans, the sea anemones and corals, are all sessile species, whereas the scyphozoans (jellyfish) and cubozoans (box jellies) are swimming forms.
7.28.128	The hydrozoans contain sessile forms and swimming colonial forms like the Portuguese Man O’ War.
7.28.129	Class Anthozoa
7.28.130	The class Anthozoa includes all cnidarians that exhibit a polyp body plan only; in other words, there is no medusa stage within their life cycle.
7.28.131	Examples include sea anemones (Figure 28.8), sea pens, and corals, with an estimated number of 6,100 described species.
7.28.132	Sea anemones are usually brightly colored and can attain a size of 1.8 to 10 cm in diameter.
7.28.133	These animals are usually cylindrical in shape and are attached to a substrate.
7.28.134	A mouth opening is surrounded by tentacles bearing cnidocytes.
7.28.135	The sea anemone is shown (a) photographed and (b) in a diagram illustrating its morphology.
7.28.136	A jelly is shown (a) photographed and (b) in a diagram illustrating its morphology.
7.28.137	In the jellyfish, a mouth opening is present on the underside of the animal, surrounded by tentacles bearing nematocysts.
7.28.138	Scyphozoans live most of their life cycle as free-swimming, solitary carnivores.
7.28.139	The mouth leads to the gastrovascular cavity, which may be sectioned into four interconnected sacs, called diverticuli.
7.28.140	In some species, the digestive system may be further branched into radial canals.
7.28.141	Like the septa in anthozoans, the branched gastrovascular cells serve two functions: to increase the surface area for nutrient absorption and diffusion; thus, more cells are in direct contact with the nutrients in the gastrovascular cavity.
7.28.142	In scyphozoans, nerve cells are scattered all over the body.
7.28.143	Neurons may even be present in clusters called rhopalia.
7.28.144	These animals possess a ring of muscles lining the dome of the body, which provides the contractile force required to swim through water.
7.28.145	Scyphozoans are dioecious animals, that is, the sexes are separate.
7.28.146	The gonads are formed from the gastrodermis and gametes are expelled through the mouth.
7.28.147	Planula larvae are formed by external fertilization; they settle on a substratum in a polypoid form known as scyphistoma.
7.28.148	These forms may produce additional polyps by budding or may transform into the medusoid form.
7.28.149	The life cycle (Figure 28.10) of these animals can be described as polymorphic, because they exhibit both a medusal and polypoid body plan at some point in their life cycle.
7.28.150	The lifecycle of a jellyfish includes two stages: the medusa stage and the polyp stage.
7.28.151	The polyp reproduces asexually by budding, and the medusa reproduces sexually.
7.28.152	Class Cubozoa
7.28.153	This class includes jellies that have a box-shaped medusa, or a bell that is square in cross-section; hence, are colloquially known as “box jellyfish.
7.28.154	”
7.28.155	These species may achieve sizes of 15–25 cm.
7.28.156	Cubozoans display overall morphological and anatomical characteristics that are similar to those of the scyphozoans.
7.28.157	A prominent difference between the two classes is the arrangement of tentacles.
7.28.158	This is the most venomous group of all the cnidarians (Figure 28.11).
7.28.159	The cubozoans contain muscular pads called pedalia at the corners of the square bell canopy, with one or more tentacles attached to each pedalium.
7.28.160	These animals are further classified into orders based on the presence of single or multiple tentacles per pedalium.
7.28.161	In some cases, the digestive system may extend into the pedalia.
7.28.162	Nematocysts may be arranged in a spiral configuration along the tentacles; this arrangement helps to effectively subdue and capture prey.
7.28.163	Cubozoans exist in a polypoid form that develops from a planula larva.
7.28.164	These polyps show limited mobility along the substratum and, like scyphozoans, may bud to form more polyps to colonize a habitat.
7.28.165	Polyp forms then transform into the medusoid forms.
7.28.166	The (a) tiny cubazoan jelly
7.28.167	Malo kingi is thimble shaped and, like all cubozoan jellies, (b) has four muscular pedalia to which the tentacles attach.
7.28.168	M. kingi is one of two species of jellies known to cause Irukandji syndrome, a condition characterized by excruciating muscle pain, vomiting, increased heart rate, and psychological symptoms.
7.28.169	Two people in Australia, where Irukandji jellies are most commonly found, are believed to have died from Irukandji stings.
7.28.170	(c) A sign on a beach in northern Australia warns swimmers of the danger.
7.28.171	Class Hydrozoa Hydrozoa includes nearly 3,200 species; most are marine, although some freshwater species are known (Figure 28.12).
7.28.172	Animals in this class are polymorphs, and most exhibit both polypoid and medusoid forms in their lifecycle, although this is variable.
7.28.173	The polyp form in these animals often shows a cylindrical morphology with a central gastrovascular cavity lined by the gastrodermis.
7.28.174	The gastrodermis and epidermis have a simple layer of mesoglea sandwiched between them.
7.28.175	A mouth opening, surrounded by tentacles, is present at the oral end of the animal.
7.28.176	Many hydrozoans form colonies that are composed of a branched colony of specialized polyps that share a gastrovascular cavity, such as in the colonial hydroid Obelia.
7.28.177	Colonies may also be free-floating and contain medusoid and polypoid individuals in the colony as in Physalia (the Portuguese Man O’War) or Velella (By-the-wind sailor).
7.28.178	Even other species are solitary polyps (Hydra) or solitary medusae (Gonionemus).
7.28.179	The true characteristic shared by all of these diverse species is that their gonads for sexual reproduction are derived from epidermal tissue, whereas in all other cnidarians they are derived from gastrodermal tissue.
7.28.180	Obelia, (b)
7.28.181	Physalia physalis, known as the Portuguese Man O‘ War, (c) Velella bae, and (d)
7.28.182	Hydra have different body shapes but all belong to the family Hydrozoa.
7.28.183	Animals belonging to superphylum Lophotrochozoa are protostomes, in which the blastopore, or the point of involution of the ectoderm or outer germ layer, becomes the mouth opening to the alimentary canal.
7.28.184	This is called protostomy or “first mouth.
7.28.185	”
7.28.186	In protostomy, solid groups of cells split from the endoderm or inner germ layer to form a central mesodermal layer of cells.
7.28.187	This layer multiplies into a band and then splits internally to form the coelom; this protostomic coelom is hence termed schizocoelom.
7.28.188	As lophotrochozoans, the organisms in this superphylum possess either a lophophore or trochophore larvae.
7.28.189	The lophophores include groups that are united by the presence of the lophophore, a set of ciliated tentacles surrounding the mouth.
7.28.190	Lophophorata include the flatworms and several other phyla.
7.28.191	These clades are upheld when RNA sequences are compared.
7.28.192	Trochophore larvae are characterized by two bands of cilia around the body.
7.28.193	The lophotrochozoans are triploblastic and possess an embryonic mesoderm sandwiched between the ectoderm and endoderm found in the diploblastic cnidarians.
7.28.194	These phyla are also bilaterally symmetrical, meaning that a longitudinal section will divide them into right and left sides that are symmetrical.
7.28.195	It also means the beginning of cephalization, the evolution of a concentration of nervous tissues and sensory organs in the head of the organism, which is where it first encounters its environment.
7.28.196	Phylum Platyhelminthes
7.28.197	The flatworms are acoelomate organisms that include many free-living and parasitic forms.
7.28.198	Most of the flatworms are classified in the superphylum Lophotrochozoa, which also includes the mollusks and annelids.
7.28.199	The Platyhelminthes consist of two lineages: the Catenulida and the Rhabditophora.
7.28.200	The Catenulida, or "chain worms" is a small clade of just over 100 species.
7.28.201	These worms typically reproduce asexually by budding.
7.28.202	However, the offspring do not fully attach from the parents and, resemble a chain in appearance.
7.28.203	All of the remaining flatworms discussed here are part of the Rhabditophora.
7.28.204	Many flatworms are parasitic, including important parasites of humans.
7.28.205	Flatworms have three embryonic tissue layers that give rise to surfaces that cover tissues (from ectoderm), internal tissues (from mesoderm), and line the digestive system (from endoderm).
7.28.206	The epidermal tissue is a single layer cells or a layer of fused cells (syncytium) that covers a layer of circular muscle above a layer of longitudinal muscle.
7.28.207	The mesodermal tissues include mesenchymal cells that contain collagen and support secretory cells that secrete mucus and other materials at the surface.
7.28.208	The flatworms are acoelomates, so their bodies are solid between the outer surface and the cavity of the digestive system.
7.28.209	Physiological Processes of Flatworms
7.28.210	The free-living species of flatworms are predators or scavengers.
7.28.211	Parasitic forms feed on the tissues of their hosts.
7.28.212	Most flatworms, such as the planarian shown in Figure 28.13, have a gastrovascular cavity rather than a complete digestive system.
7.28.213	In such animals, the “mouth” is also used to expel waste materials from the digestive system.
7.28.214	Some species also have an anal opening.
7.28.215	The gut may be a simple sac or highly branched.
7.28.216	Digestion is extracellular, with digested materials taken in to the cells of the gut lining by phagocytosis.
7.28.217	One group, the cestodes, lacks a digestive system.
7.28.218	Flatworms have an excretory system with a network of tubules throughout the body with openings to the environment and nearby flame cells, whose cilia beat to direct waste fluids concentrated in the tubules out of the body.
7.28.219	The system is responsible for the regulation of dissolved salts and the excretion of nitrogenous wastes.
7.28.220	The nervous system consists of a pair of nerve cords running the length of the body with connections between them and a large ganglion or concentration of nerves at the anterior end of the worm, where there may also be a concentration of photosensory and chemosensory cells.
7.28.221	There is neither a circulatory nor respiratory system, with gas and nutrient exchange dependent on diffusion and cell-cell junctions.
7.28.222	This necessarily limits the thickness of the body in these organisms, constraining them to be “flat” worms.
7.28.223	Most flatworm species are monoecious, and fertilization is typically internal.
7.28.224	Asexual reproduction is common in some groups.
7.28.225	The planarian is a flatworm that has a gastrovascular cavity with one opening that serves as both mouth and anus.
7.28.226	The excretory system is made up of tubules connected to excretory pores on both sides of the body.
7.28.227	The nervous system is composed of two interconnected nerve cords running the length of the body, with cerebral ganglia and eyespots at the anterior end.
7.28.228	Diversity of Flatworms Platyhelminthes are traditionally divided into four classes: Turbellaria, Monogenea, Trematoda, and Cestoda (Figure 28.14).
7.28.229	As discussed above, the relationships among members of these classes is being reassessed, with the turbellarians in particular now viewed as a paraphyletic group, a group that does not have a single common ancestor.
7.28.230	Phylum Platyhelminthes is divided into four classes.
7.28.231	(a) Class Turbellaria includes the Bedford’s flatworm (Pseudobiceros bedfordi), which is about 8–10 cm in length.
7.28.232	(b)
7.28.233	The parasitic class Monogenea includes Dactylogyrus spp.
7.28.234	Dactylogyrus, commonly called a gill fluke, is about 0.2 mm in length and has two anchors, indicated by arrows, that it uses to latch onto the gills of host fish.
7.28.235	(c)
7.28.236	The Trematoda class includes Fascioloides magna (right) and Fasciaola hepatica (two specimens of left, also known as the common liver fluke).
7.28.237	(d)
7.28.238	Class Cestoda includes tapeworms such as this Taenia saginata.
7.28.239	T. saginata, which infects both cattle and humans, can reach 4–10 meters in length; the specimen shown here is about 4 meters.
7.28.240	The class Turbellaria includes mainly free-living, marine species, although some species live in freshwater or moist terrestrial environments.
7.28.241	The ventral epidermis of turbellarians is ciliated and facilitates their locomotion.
7.28.242	Some turbellarians are capable of remarkable feats of regeneration in which they may regrow the body, even from a small fragment.
7.28.243	The monogeneans are ectoparasites, mostly of fish, with simple lifecycles that consist of a free-swimming larva that attaches to a fish to begin transformation to the parasitic adult form.
7.28.244	The parasite has only one host and that host is usually only one species.
7.28.245	The worms may produce enzymes that digest the host tissues or simply graze on surface mucus and skin particles.
7.28.246	Most monogeneans are hermaphroditic, but the male gametes develop first and so cross-fertilization is quite common.
7.28.247	The trematodes, or flukes, are internal parasites of mollusks and many other groups, including humans.
7.28.248	Trematodes have complex lifecycles that involve a primary host in which sexual reproduction occurs, and one or more secondary hosts in which asexual reproduction occurs.
7.28.249	The primary host is almost always a mollusk.
7.28.250	Trematodes are responsible for serious human diseases including schistosomiasis, a blood fluke.
7.28.251	The disease infects an estimated 200 million people in the tropics, leading to organ damage and chronic symptoms like fatigue.
7.28.252	Infection occurs when the human enters the water and a larva, released from the primary snail host, locates and penetrates the skin.
7.28.253	The parasite infects various organs in the body and feeds on red blood cells before reproducing.
7.28.254	Many of the eggs are released in feces and find their way into a waterway, where they are able to reinfect the primary snail host.
7.28.255	The cestodes, or tapeworms, are also internal parasites, mainly of vertebrates (Figure 28.15).
7.28.256	Tapeworms live in the intestinal tract of the primary host and remain fixed using a sucker on the anterior end, or scolex, of the tapeworm body.
7.28.257	The remaining body of the tapeworm is made up of a long series of units called proglottids, each of which may contain an excretory system with flame cells, but contain reproductive structures, both male and female.
7.28.258	Tapeworms do not possess a digestive system; instead, they absorb nutrients from the food matter passing them in the host’s intestine.
7.28.259	Proglottids are produced at the scolex and gradually migrate to the end of the tapeworm; at this point, they are “mature” and all structures except fertilized eggs have degenerated.
7.28.260	Most reproduction occurs by cross-fertilization.
7.28.261	The proglottid detaches from the body of the worm and is released into the feces of the organism.
7.28.262	The eggs are eaten by an intermediate host.
7.28.263	The juvenile worm infects the intermediate host and takes up residence, usually in muscle tissue.
7.28.264	When the muscle tissue is eaten by the primary host, the cycle is completed.
7.28.265	There are several tapeworm parasites of humans that are transmitted by eating uncooked or poorly cooked pork, beef, and fish.
7.28.266	Tapeworm (Taenia spp.)
7.28.267	infections occur when humans consume raw or undercooked infected meat.
7.28.268	Phylum Rotifera
7.28.269	The rotifers are a microscopic (about 100 μm to 30 mm) group of mostly aquatic organisms that get their name from the corona, a rotating, wheel-like structure that is covered with cilia at their anterior end (Figure 28.16).
7.28.270	Although their taxonomy is currently in flux, one treatment places the rotifers in three classes: Bdelloidea, Monogononta, and Seisonidea.
7.28.271	The classification of the group is currently under revision, however, as more phylogenetic evidence becomes available.
7.28.272	It is possible that the “spiny headed worms” currently in phylum Acanthocephala will be incorporated into this group in the future.
7.28.273	The body form of rotifers consists of a head (which contains the corona), a trunk (which contains the organs), and the foot.
7.28.274	Rotifers are typically free-swimming and truly planktonic organisms, but the toes or extensions of the foot can secrete a sticky material forming a holdfast to help them adhere to surfaces.
7.28.275	The head contains sensory organs in the form of a bilobed brain and small eyespots near the corona.
7.28.276	Shown are examples from two of the three classes of rotifer.
7.28.277	(a) Species from the class Bdelloidea are characterized by a large corona, shown separately from the whole animals in the center of this scanning electron micrograph.
7.28.278	(b) Polyarthra, from the class Monogononta, has a smaller corona than Bdelloid rotifers, and a single gonad, which give the class its name.
7.28.279	The rotifers are filter feeders that will eat dead material, algae, and other microscopic living organisms, and are therefore very important components of aquatic food webs.
7.28.280	Rotifers obtain food that is directed toward the mouth by the current created from the movement of the corona.
7.28.281	The food particles enter the mouth and travel to the mastax (pharynx with jawlike structures).
7.28.282	Food then passes by digestive and salivary glands, and into the stomach, then onto the intestines.
7.28.283	Digestive and excretory wastes are collected in a cloacal bladder before being released out the anus.
7.28.284	Rotifers are pseudocoelomates commonly found in fresh water and some salt water environments throughout the world.
7.28.285	Figure 28.17 shows the anatomy of a rotifer belonging to class Bdelloidea.
7.28.286	About 2,200 species of rotifers have been identified.
7.28.287	Rotifers are dioecious organisms (having either male or female genitalia) and exhibit sexual dimorphism (males and females have different forms).
7.28.288	Many species are parthenogenic and exhibit haplodiploidy, a method of gender determination in which a fertilized egg develops into a female and an unfertilized egg develops into a male.
7.28.289	In many dioecious species, males are short-lived and smaller with no digestive system and a single testis.
7.28.290	Females can produce eggs that are capable of dormancy for protection during harsh environmental conditions.
7.28.291	This illustration shows the anatomy of a bdelloid rotifer.
7.28.292	Phylum Nemertea
7.28.293	The Nemertea are colloquially known as ribbon worms.
7.28.294	Most species of phylum Nemertea are marine, predominantly benthic or bottom dwellers, with an estimated 900 species known.
7.28.295	However, nemertini have been recorded in freshwater and terrestrial habitats as well.
7.28.296	Most nemerteans are carnivores, feeding on worms, clams, and crustaceans.
7.28.297	Some species are scavengers, and some nemertini species, like Malacobdella grossa, have also evolved commensalistic relationships with some mollusks.
7.28.298	Some species have devastated commercial fishing of clams and crabs.
7.28.299	Nemerteans have almost no predators and two species are sold as fish bait.
7.28.300	Morphology Ribbon worms vary in size from 1 cm to several meters.
7.28.301	They show bilateral symmetry and remarkable contractile properties.
7.28.302	Because of their contractility, they can change their morphological presentation in response to environmental cues.
7.28.303	Animals in phylum
7.28.304	Nemertea show a flattened morphology, that is, they are flat from front to back, like a flattened tube.
7.28.305	Nemertea are soft and unsegmented animals.
7.28.306	The proboscis worm (Parborlasia corrugatus) is a scavenger that combs the sea floor for food.
7.28.307	The species is a member of the phylum Nemertea.
7.28.308	The specimen shown here was photographed in the Ross Sea, Antarctica.
7.28.309	A unique characteristic of this phylum is the presence of a proboscis enclosed in a rhynchocoel.
7.28.310	The proboscis serves to capture food and may be ornamented with barbs in some species.
7.28.311	The rhynchocoel is a fluid-filled cavity that extends from the head to nearly two-thirds of the length of the gut in these animals (Figure 28.19).
7.28.312	The proboscis may be extended or retracted by the retractor muscle attached to the wall of the rhynchocoel.
7.28.313	Digestive System
7.28.314	The nemertini show a very well-developed digestive system.
7.28.315	A mouth opening that is ventral to the rhynchocoel leads into the foregut, followed by the intestine.
7.28.316	The intestine is present in the form of diverticular pouches and ends in a rectum that opens via an anus.
7.28.317	Gonads are interspersed with the intestinal diverticular pouches and open outwards via genital pores.
7.28.318	A circulatory system consists of a closed loop of a pair of lateral blood vessels.
7.28.319	The circulatory system is derived from the coelomic cavity of the embryo.
7.28.320	Some animals may also have cross-connecting vessels in addition to lateral ones.
7.28.321	Although these are called blood vessels, since they are of coelomic origin, the circulatory fluid is colorless.
7.28.322	Some species bear hemoglobin as well as other yellow or green pigments.
7.28.323	The blood vessels are connected to the rhynchocoel.
7.28.324	The flow of fluid in these vessels is facilitated by the contraction of muscles in the body wall.
7.28.325	A pair of protonephridia, or primitive kidneys, is present in these animals to facilitate osmoregulation.
7.28.326	Gaseous exchange occurs through the skin in the nemertini.
7.28.327	Nervous System Nemertini have a ganglion or “brain” situated at the anterior end between the mouth and the foregut, surrounding the digestive system as well as the rhynchocoel.
7.28.328	A ring of four nerve masses called “ganglia” composes the brain in these animals.
7.28.329	Paired longitudinal nerve cords emerge from the brain ganglia and extend to the posterior end.
7.28.330	Ocelli or eyespots are present in pairs, in multiples of two in the anterior portion of the body.
7.28.331	It is speculated that the eyespots originate from neural tissue and not from the epidermis.
7.28.332	Reproduction Animals in phylum Nemertea show sexual dimorphism, although freshwater species may be hermaphroditic.
