7.1.1.1	Chapter 1: Studying Life
7.2.0.0.5.1	The ionization of strong acids and bases in water is virtually irreversible.
7.2.0.0.6.1	The ionization of weak acids and bases in water is somewhat reversible.
7.2.0.0.1.1	The water molecule has a slight but significant tendency to ionize into a hydroxide ion (OH&#8211;) and a hydrogen ion (H+).
7.2.0.0.1.2	Actually, two water molecules participate in this reaction.
7.2.0.0.1.3	One of the two molecules &#x201C;captures&#x201D; a hydrogen ion from the other molecule, forming a hydroxide ion and a hydronium ion:
7.2.0.0.2.1	The hydronium ion is, in effect, a hydrogen ion bound to a water molecule.
7.2.0.0.2.2	For simplicity, biochemists tend to use a modified representation of the ionization of water: H2O &#x2192; H+ + OH&#8211;
7.2.0.0.3.1	The ionization of water is important to all living creatures.
7.2.0.0.3.2	This fact may seem surprising, since only about 1 water molecule in 500 million is ionized at any given time.
7.2.0.0.3.3	But this is less surprising if we focus on the abundance of water in living systems, and the reactive nature of the H+ ions produced by ionization.
7.2.0.0.1.1	As we have seen, compounds can be either acids or bases, and thus solutions can be either acidic or basic.
7.2.0.0.1.2	We can measure how acidic or basic a solution is by measuring its concentration of H+ in moles per liter (its molarity; see p. xx).
7.2.0.0.1.3	Here are some examples:
7.2.0.0.2.1	Pure water has a H+ concentration of 10&#8211;7 M.
7.2.0.0.3.1	A 1 M HCl solution has a H+ concentration of 1 M (recall that all the HCl dissociates into its ions).
7.2.0.0.4.1	A 1 M NaOH solution has a H+ concentration of 10&#8211;14 M.
7.2.0.0.5.1	This is a very wide range of numbers to work with&#8212;think about the decimals!
7.2.0.0.5.2	It is easier to work with the logarithm of the H+ concentration, because logarithms compress this range: the log10 of 100, for example, is 2; and the log10 of 0.01 is &#8211;2.
7.2.0.0.5.3	Because most H+ concentrations in living systems are less than 1 M, their log10 values are negative.
7.2.0.0.5.4	For convenience, we convert these negative numbers into positive ones by using the negative of the logarithm of the H+ molar concentration.
7.2.0.0.5.5	This number is called the pH of the solution: pH = &#8211;log(H+) where (H+) is the concentration of free H+ in solution
7.2.0.0.6.1	Since the H+ concentration of pure water is 10&#8211;7 M, its pH is &#8211;log(10&#8211;7) = &#8211;(&#8211;7), or 7.
7.2.0.0.6.2	A smaller negative logarithm means a larger number.
7.2.0.0.6.3	In practical terms, a lower pH means a higher H+ concentration, or greater acidity.
7.2.0.0.6.4	In 1 M HCl, the H+ concentration is 1 M, so the pH is the negative logarithm of 1 (&#8211;log 100), or 0.
7.2.0.0.6.5	The pH of 1 M NaOH is the negative logarithm of 10&#8211;14, or 14.
7.2.0.0.7.1	A solution with a pH of less than 7 is acidic&#8212;it contains more H+ ions than OH&#8211; ions.
7.2.0.0.7.2	A solution with a pH of 7 is referred to as neutral, and a solution with a pH value greater than 7 is basic.
7.2.0.0.7.3	Figure 2.15 shows the pH values of some common substances.
7.2.0.0.7.4	Figure 2.15 pH Values of Some Familiar Substances
7.2.0.0.8.1	Why is this discussion of pH so relevant to biology?
7.2.0.0.8.2	Many reactions involve the transfer of an ion or charged group from one molecule to another, and the presence of positive or negative ions in the environment can greatly influence the rates of such reactions.
7.2.0.0.8.3	Furthermore, pH can influence the shapes of molecules.
7.2.0.0.8.4	Many biologically important molecules contain charged groups (e. g. , &#8212;COO&#8211;) that can interact with the polar regions of water, and these interactions influence the way such molecules fold up into three-dimensional shapes.
7.2.0.0.8.5	If these charged groups combine with H+ or other ions in their environment to form uncharged groups (e. g. , &#8212;COOH; see above), they will have a reduced tendency to interact with water.
7.2.0.0.8.6	These uncharged (hydrophobic) groups might induce the molecule to fold up differently so that they are no longer in contact with the watery environment.
7.2.0.0.8.7	Since the three-dimensional structures of biological molecules greatly affect the way they function, organisms do all they can to minimize changes in the pH of their cells and tissues.
7.2.0.0.8.8	An important way to do this is with buffers.
7.2.0.0.1.1	The maintenance of internal constancy&#8212;homeostasis&#8212;is a hallmark of all living things and extends to pH.
7.2.0.0.1.2	If biological molecules lose or gain H+ ions, their properties can change, thus upsetting homeostasis.
7.2.0.0.1.3	For example, people who exercise strenuously produce lactic acid, which ionizes to produce H+.
7.2.0.0.1.4	Internal constancy within tissues can be achieved with buffers: solutions that maintain a relatively constant pH even when substantial amounts of acid or base are added.
7.2.0.0.1.5	How does this work?
7.2.0.0.2.1	A buffer is a mixture of a weak acid and its corresponding base, or a weak base and its corresponding acid.
7.2.0.0.2.2	For example, a weak acid is carbonic acid (H2CO3), and its corresponding base is the bicarbonate ion (HCO3&#8211;).
7.2.0.0.2.3	If another acid is added to a solution containing this mixture (a buffered solution), not all the H+ ions from the acid remain in solution.
7.2.0.0.2.4	Instead, many of them combine with the bicarbonate ions to produce more carbonic acid: HCO3&#8211; + H+  &#x21CC;  H2CO3 Figure 2.16 Buffers Minimize Changes in pH
7.2.0.0.3.1	This reaction uses up some of the H+ ions in the solution and decreases the acidifying effect of the added acid.
7.2.0.0.3.2	If a base is added, the reaction essentially reverses.
7.2.0.0.3.3	Some of the carbonic acid ionizes to produce bicarbonate ions and more H+, which counteracts some of the added base.
7.2.0.0.3.4	The buffer minimizes the effect that an added acid or base has on pH.
7.2.0.0.3.5	The carbonic acid/bicarbonate buffering system is present in the blood, where it is important for preventing significant changes in pH that could disrupt the ability of the blood to carry vital oxygen to tissues.
7.2.0.0.3.6	A given amount of acid or base causes a smaller pH change in a buffered solution than in a non-buffered one (Figure 2.16).
7.2.0.0.4.1	Buffers illustrate an important chemical principle of reversible reactions, called the law of mass action.
7.2.0.0.4.2	Addition of a reactant on one side of a reversible system drives the reaction in the direction that uses up that compound.
7.2.0.0.4.3	In the case of buffers, addition of an acid drives the reaction in one direction; addition of a base drives the reaction in the other direction.
7.2.0.0.5.1	You may occasionally use a buffer to relieve indigestion.
7.2.0.0.5.2	The lining of the stomach constantly secretes hydrochloric acid, making the stomach contents acidic.
7.2.0.0.5.3	But excessive stomach acid can cause discomfort.
7.2.0.0.5.4	We can relieve this discomfort by ingesting a salt such as NaHCO3 (sodium bicarbonate), which acts as a buffer.
7.2.0.0.6.1	investigatinglife
7.2.0.0.7.1	What insights into biological systems have been discovered through isotope analysis?
7.2.0.0.8.1	The opening investigation of dinosaurs (oxygen atoms) and the investigating life experiment of hamburgers (carbon atoms) are examples of identifying the life history of organisms through isotopic analysis.
7.2.0.0.8.2	Recently, this has been applied to humans as well.
7.2.0.0.8.3	Hair is a living tissue, with a lot of O and H atoms derived from water in the diet.
7.2.0.0.8.4	Ecologist Jim Ehleringer and chemist Thure Cerling have shown that like the dinosaurs, the isotopic ratios of O and H in hair reflect the geographical region where a person drank the water.
7.2.0.0.8.5	This can be useful evidence in a forensic investigation, placing a person at a location.
7.2.0.0.8.6	Isotopic ratios are also used to identify where plants are grown, because their tissues also have unique ratios.
7.2.0.0.8.7	For example, ratios have revealed the geographical origin of poppies used to make heroin.
7.2.0.0.8.8	The mass spectrometer, a chemical analysis instrument that detects isotopes, is fast becoming an important tool for biologists.
7.2.0.0.9.1	Future directions
7.2.0.0.10.1	Tracking the isotopes of oxygen and hydrogen in precipitation is useful in understanding patterns of climate change.
7.2.0.0.10.2	Water evaporates in warmer regions at the tropical latitudes on Earth and moves toward the cooler poles.
7.2.0.0.10.3	As an air mass moves from a warmer to a cooler region, water vapor condenses and is removed as precipitation.
7.2.0.0.10.4	The heavy isotopes of H and O tend to fall as precipitation more readily than the lighter isotopes, so as the water vapor moves toward the poles, it becomes enriched in the lighter isotopes.
7.2.0.0.10.5	The ratio of heavy to light isotopes that reach the poles depends on the climate&#8211;the cooler the climate, the lower the ratio, because more water precipitates as it moves toward the poles, depleting more of the heavier isotopes.
7.2.0.0.10.6	Analyses of polar ice cores show that heavy-to-light isotope ratios vary over geological time scales.
7.2.0.0.10.7	This has allowed scientists to reconstruct climate change in the past, and to relate it to fossil organisms that lived at those times.
7.2.0.0.10.8	Isotope ratios may be useful in monitoring climate change that is happening today.
7.2.0.0.11.1	2.4 recap
7.2.0.0.12.1	Most of the chemistry of life occurs in water, which has unique properties that make it an ideal medium for supporting life.
7.2.0.0.12.2	These properties include hydrogen bonding between molecules, high specific heat, and cohesion between molecules.
7.2.0.0.12.3	Aqueous solutions can be acidic or basic, depending on the concentration of hydrogen ions.
7.2.0.0.12.4	The cells and tissues of organisms are buffered, however, because changes in pH can change the properties of biological molecules.
7.2.0.0.13.1	learning outcomes
7.2.0.0.14.1	You should be able to:
7.2.0.0.15.1	Explain why water&#8217;s solvent properties are important in understanding events taking place inside cells.
7.2.0.0.16.1	Perform quantitative analyses of biochemical compounds using the mole concept.
7.2.0.0.17.1	Predict and explain changes in pH caused by changes in concentration of weak acids or bases in living tissue.
7.2.0.0.18.1	What is a solution, and why do we call water &#x201C;the medium of life&#x201D;?
7.2.0.0.19.1	A substance in a cell has a concentration of 0.00000001 molar.
7.2.0.0.19.2	What does this mean in terms of the number of molecules in a cell that has a volume of 0.000001 liters?
7.2.0.0.20.1	In human tissues, CO2 is formed as a by-product of oxidation of more complex molecules.
7.2.0.0.20.2	CO2 enters the blood-stream and in red blood cells is removed from the blood by the reaction CO2 + H2O &#x2192; HCO3&#8211; + H+.
7.2.0.0.20.3	What is the consequence of this reaction on the pH of the blood?
7.2.0.0.20.4	What chemical reaction would restore the pH of the blood?
7.2.0.0.21.1	Chapter 2 continues with
7.2.0.0.22.1	Chapter 2 Summary
7.2.summary.1.1	2.1
7.2.summary.2.1	Atomic Structure Explains the Properties of Matter
7.2.summary.3.1	Matter is composed of atoms.
7.2.summary.3.2	Each atom consists of a positively charged nucleus made up of protons and neutrons, surrounded by electrons bearing negative charges.
7.2.summary.3.3	Review Figure 2.1
7.2.summary.4.1	The number of protons in the nucleus defines an element.
7.2.summary.4.2	There are many elements in the universe, but only a few of them make up the bulk of living organisms: C, H, O, P, N, and S. Review Figure 2.2
7.2.summary.5.1	Isotopes of an element differ in their numbers of neutrons.
7.2.summary.5.2	Radioisotopes are radioactive, emitting radiation as they break down.
7.2.summary.6.1	Electrons are distributed in electron shells, which are volumes of space defined by specific numbers of orbitals.
7.2.summary.6.2	Each orbital contains a maximum of two electrons.
7.2.summary.6.3	Review Figures 2.4, Activity 2.1
7.2.summary.7.1	In losing, gaining, or sharing electrons to become more stable, an atom can combine with other atoms to form a molecule. 2.2
7.2.summary.8.1	Atoms Bond to Form Molecules
7.2.summary.9.1	A chemical bond is an attractive force that links two atoms together in a molecule.
7.2.summary.9.2	Review Table 2.1, Animation 2.1
7.2.summary.10.1	A compound is a substance made up of molecules with two or more different atoms bonded together in a fixed ratio, such as water (H2O).
7.2.summary.11.1	Covalent bonds are strong bonds formed when two atoms share one or more pairs of electrons.
7.2.summary.11.2	Review Focus: Key Figure 2.4, Figure 2.5
7.2.summary.12.1	When two atoms of unequal electronegativity bond with each other, a polar covalent bond is formed.
7.2.summary.12.2	The two ends, or poles, of the bond have partial charges (  + or   &#8211;).
7.2.summary.12.3	Review Figure 2.7
7.2.summary.13.1	An ion is an electrically charged particle that forms when an atom gains or loses one or more electrons in order to form a more stable electron configuration.
7.2.summary.13.2	Anions and cations are negatively and positively charged ions, respectively.
7.2.summary.13.3	Different charges attract each other, and like charges repel each other.
7.2.summary.14.1	Ionic attractions occur between oppositely charged ions.
7.2.summary.14.2	Ionic attractions are strong in solids (salts) but weaken when the ions are separated from one another in solution.
7.2.summary.14.3	Review Figure 2.9
7.2.summary.15.1	A hydrogen bond is a weak electrical attraction that forms between a   + hydrogen atom in one molecule and a   &#8211; atom in another molecule (or in another part of the same, large molecule).
7.2.summary.15.2	Hydrogen bonds are abundant in water.
7.2.summary.15.3	Review Figure 2.10
7.2.summary.16.1	Nonpolar molecules interact very little with polar molecules, including water.
7.2.summary.16.2	Nonpolar molecules are attracted to one another by very weak bonds called van der Waals forces. 2.3
7.2.summary.17.1	Atoms Change Partners in Chemical Reactions
7.2.summary.18.1	In chemical reactions, atoms combine or change their bonding partners.
7.2.summary.18.2	Reactants are converted into products.
7.2.summary.19.1	Some chemical reactions release energy as one of their products; other reactions can occur only if energy is provided to the reactants.
7.2.summary.20.1	Neither matter nor energy is created or destroyed in a chemical reaction, but both change form.
7.2.summary.20.2	Review Figure 2.12
7.2.summary.21.1	In organisms, chemical reactions take place in multiple steps so that released energy can be harvested for cellular activities. 2.4
7.2.summary.22.1	Water Is Critical for Life
7.2.summary.23.1	Water   s molecular structure and its capacity to form hydrogen bonds give it unique properties that are significant for life.
7.2.summary.23.2	Review Figure 2.13
7.2.summary.24.1	The high specific heat of water means that water gains or loses a great deal of heat when it changes state.
7.2.summary.24.2	Water   s high heat of vaporization ensures effective cooling when water evaporates.
7.2.summary.25.1	The cohesion of water molecules refers to their capacity to resist coming apart from one another.
7.2.summary.25.2	Hydrogen bonding between the water molecules plays an essential role in this property.
7.2.summary.26.1	A solution is produced when a solid substance (the solute) dissolves in a liquid (the solvent).
7.2.summary.26.2	Water is the critically important solvent for life.
7.2.summary.26.3	The ability of molecules to lose or accept protons (H+) is important in biological structure and function.
7.2.summary.27.1	Go to LearningCurve (in LaunchPad) for dynamic quizzing that helps you solidify your understanding of this chapter.
7.2.summary.27.2	LearningCurve adapts to your responses, giving you the practice you need to master each key concept.
7.2.summary.28.1	Apply What You   ve Learned
7.2.summary.29.1	Review
7.2.summary.30.1	2.4 The acid-base properties of water and other compounds in cells allow reversible changes that affect biological functions.
7.2.summary.31.1	Scientists are developing methods to sample a person&#8217;s breath and test it for higher-than-normal levels of compounds that contain ketones.
7.2.summary.31.2	The buildup of these compounds in the body can indicate type I diabetes.
7.2.summary.31.3	This work could lead to development of a portable device that will allow earlier diagnosis of diabetes, especially in children.
7.2.summary.32.1	Insulin is a hormone that stimulates cells in the body to take up glucose from the blood.
7.2.summary.32.2	Cells use glucose as a source of energy for normal cell function.
7.2.summary.32.3	In type I diabetes, insulin is not produced, and glucose does not enter cells from the blood.
7.2.summary.32.4	Lacking an incoming supply of glucose, cells begin breaking down fats as a source of energy.
7.2.summary.32.5	When fats break down, several ketone-containing compounds are produced and they can be detected by a breath analysis device.
7.2.summary.32.6	A ketone has the general structure RCOR', where R and R' are the same or different groups of atoms.
7.2.summary.33.1	One of the ketone-containing products of fat breakdown is acetoacetic acid, which has the structure below.
7.2.summary.33.2	Acetoacetic acid is very harmful when it builds up in high concentration in the body.
7.2.summary.34.1	Questions
7.2.summary.35.1	1.
7.2.summary.35.2	In water, acetoacetic acid can ionize to form protons and acetoacetate ions.
7.2.summary.35.3	Write the chemical structures for this reaction.
7.2.summary.36.1	2.
7.2.summary.36.2	Now write out the reversible chemical reaction for the ionization of carbonic acid in blood, which can act as a buffer.
7.2.summary.36.3	Would the pH of blood change if a small amount of acetoacetic acid produced normally in tissues were added to the blood?
7.2.summary.36.4	Explain.
7.2.summary.37.1	3.
7.2.summary.37.2	What would happen to the pH of the blood if more and more acetoacetic acid built up, as in a case of untreated diabetes?
7.2.summary.37.3	Explain, using what you found in Question 2 above.
7.2.summary.37.4	What would happen to the body&#8217;s ability to maintain a constant blood pH?
7.2.summary.37.5	How does this explain why people with this condition become severely ill?
7.2.summary.38.1	4.
7.2.summary.38.2	Acetone is one of the compounds produced from fat breakdown and expelled in the breath.
7.2.summary.38.3	It is targeted for detection by a breath-analysis device.
7.2.summary.38.4	Its chemical structure is shown below.
7.2.summary.38.5	Analyze the structure to determine whether it would be expected to affect the carbonic acid or bicarbonate buffer system in the blood.
7.2.summary.39.1	5.
7.2.summary.39.2	Suppose scientists succeed in developing a device that detects ketone buildup in the breath.
7.2.summary.39.3	If a person tested positive for higher-than-normal ketones with the breath test, what are some blood tests that could be done to follow up?
7.2.summary.39.4	Suggest three or four different blood tests, other than acetoacetic acid or ketone levels, that could be used to detect the existence of insulin insufficiency.
7.2.summary.39.5	Describe the outcome of each test in the case of a positive result.
7.2.summary.40.1	Go to LaunchPad for the eBook, LearningCurve, animations, activities, flashcards, and additional resources and assignments.
7.2.summary.41.1	End of Chapter 2.
7.3.1.1	Spider silk, (purple) being spun from a gland by the shiny black spider, Castercantha, is an example of a complex macromolecule.
7.3.2.1	Key Concepts:
7.3.3.1	Macromolecules Characterize Living Things
7.3.4.1	The Function of a Protein Depends on Its Three-Dimensional Structure
7.3.5.1	Simple Sugars Are the Basic Structural Unit of Carbohydrates
7.3.6.1	Lipids Are Defined by Their Solubility Rather Than by Chemical Structure
7.3.7.1	investigatinglife
7.3.8.1	Weaving a Web
7.3.9.1	A spider web is an amazing structure.
7.3.9.2	It is not only beautiful to look at, but an architectural wonder serving as the spider   s home, its mating place, and its way to capture food.
7.3.9.3	Consider a fly that chances to interact with a spider web.
7.3.9.4	The fibers of the web must slow down the fly, but they cannot break, so they need to stretch to dissipate the energy of the fly   s movement.
7.3.9.5	The fibers holding the fly cannot stretch too much; they must be strong enough to hold the web in place.
7.3.9.6	Web fibers are far thinner than a human hair, yet they are very strong.
7.3.9.7	The fibers can also be long; for example, the Darwin   s bark spider makes strands up to 25 meters long.
7.3.10.1	Chemical investigations reveal that spider silk is made of variations on a single type of large molecule called a protein.
7.3.10.2	Proteins are polymers: long chains of individual smaller units called amino acids.
7.3.10.3	The proteins in spider silks have characteristic structures and amino acid compositions that determine particular functions.
7.3.10.4	Proteins in the stretchy web fibers have amino acids that allow them to curl into spirals, and these spirals can slip along one another to change the fiber   s length.
7.3.10.5	Another kind of spider silk is the dragline silk, which is less stretchy and used to construct the outline of the web, its spokes, and the lifeline of the spider.
7.3.10.6	The proteins in these strong fibers are made up of amino acids that cause the proteins to fold into flat sheets with ratchets, so that parallel sheets can fit together like Lego blocks.
7.3.10.7	This arrangement makes these fibers hard to pull apart.
7.3.11.1	Just how strong is spider silk?
7.3.11.2	A popular series of films features the fictional character Spider-Man.
7.3.11.3	He often uses his web to ensnare evildoers and protect the innocent.
7.3.11.4	In one scene, he stops a train by using ten ropes made of spider silk, each about 1 centimeter thick.
7.3.11.5	Scientists who study spider silk have estimated the number of silk fibers in each rope and calculated that this scene would indeed be possible.
7.3.11.6	All of this from covalent bonds holding long chains of amino acids together and weaker forces between the chains!
7.3.11.7	Given the amazing strength shown by these proteins, it is not surprising that there is a lot of interest in using spider silk for human activities.
7.3.12.1	What are practical uses for spider silk?
7.3.13.1	Chapter 3 continues with
7.3.14.1	3.1  Macromolecules Characterize Living Things
7.3.1.1.1	Chemical groupings determine the structures of macromolecules
7.3.1.2.1	The structures of macromolecules reflect their functions
7.3.1.3.1	Most macromolecules are formed by condensation and broken down by hydrolysis
7.3.1.4.1	Four kinds of molecules are characteristic of living things: proteins, carbohydrates, lipids, and nucleic acids.
7.3.1.4.2	With the exception of the lipids, these biological molecules are polymers (poly,    many,  ? + mer,    unit  ?) constructed by the covalent bonding of smaller molecules called monomers.
7.3.1.4.3	Each kind of biological molecule is made up of monomers with similar chemical structures:
7.3.1.5.1	Proteins are formed from different combinations of 20 amino acids, all of which share chemical similarities.
7.3.1.6.1	Carbohydrates can form giant molecules by linking together chemically similar sugar monomers (monosaccharides) to form polysaccharides.
7.3.1.7.1	Nucleic acids are formed from four kinds of nucleotide monomers linked together in long chains.
7.3.1.8.1	Lipids also form large structures from a limited set of smaller molecules, but in this case noncovalent forces maintain the interactions between the lipid monomers that are held together by covalent bonds.
7.3.1.9.1	Polymers containing thousands or more atoms are called macromolecules.
7.3.1.9.2	The proteins, carbohydrates, and nucleic acids of living systems certainly fall into this category.
7.3.1.9.3	Although large lipid structures are not polymers in the strictest sense, it is convenient to treat them as macromolecules (see Key Concept 3.4).
7.3.1.9.4	Green plants have the living world   s most abundant protein (rubisco; see Chapter 10), most abundant carbohydrate (cellulose in plant cell walls), and most abundant lipid (monogalactosyl diglyceride in leaves).
7.3.1.10.1	focus your learning
7.3.1.11.1	Isomers are molecules having the same composition but different structures.
7.3.1.12.1	Monomers are chemically linked via condensation reactions to form polymers.
7.3.1.1.1.1	Certain small groups of atoms, called functional groups, occur frequently in biological molecules (Figure 3.1).
7.3.1.1.1.2	Each functional group has specific chemical properties, and when it is attached to a larger molecule, it confers those properties on the larger molecule.
7.3.1.1.1.3	One of these properties is polarity.
7.3.1.1.1.4	Looking at the structures in Figure 3.1, can you determine which functional groups are the most polar?
7.3.1.1.1.5	(Hint: look for C   O, N   H, and P   O bonds. )
7.3.1.1.1.6	The consistent chemical behavior of functional groups helps us understand the properties of the molecules that contain them.
7.3.1.1.2.1	Figure 3.1 Some Functional Groups Important to Living Systems
7.3.1.1.3.1	Some Functional Groups Important to Living Systems Highlighted here are the eight functional groups most commonly found in biologically important molecules.
7.3.1.1.3.2	R  ? is a variable chemical grouping.
7.3.1.1.4.1	Macromolecules have many different functional groups.
7.3.1.1.4.2	A single large protein may contain nonpolar, polar, and charged functional groups, each of which gives different specific properties to local sites on the macromolecule.
7.3.1.1.4.3	As we will see, sometimes these different groups interact within the same macromolecule.
7.3.1.1.4.4	They help determine the shape of the macromolecule as well as how it interacts with other macromolecules and with smaller molecules.
7.3.1.1.5.1	Using the same atoms, molecules can differ from one another because their functional groups can be arranged differently.
7.3.1.1.5.2	Isomers are molecules that have the same (   iso  ?) chemical formula   the same kinds and numbers of atoms   but with the atoms arranged differently.
7.3.1.1.5.3	Of the different kinds of isomers, we will consider three: structural isomers, cis-trans isomers, and optical isomers.
7.3.1.1.6.1	Structural isomers differ in how their atoms are joined together.
7.3.1.1.6.2	Consider two simple molecules, each composed of four carbon and ten hydrogen atoms bonded covalently, both with the formula C4H10.
7.3.1.1.6.3	These atoms can be linked in two different ways, resulting in different molecules (Figure 3.2A).
7.3.1.1.7.1	cis-trans isomers typically involve a double bond between two carbon atoms, where the carbons share two pairs of electrons.
7.3.1.1.7.2	When the remaining two bonds of each of these carbons are to two different atoms or groups of atoms (e. g. , a hydrogen and a methyl group; Figure 3.2B), these can be oriented on the same side or different sides of the doublebonded molecule.
7.3.1.1.7.3	If the different atoms or groups of atoms are on the same side, the double bond is called cis; if they are on opposite sides, the bond is trans.
7.3.1.1.7.4	These molecules can have very different properties.
7.3.1.1.8.1	Optical isomers occur when a carbon atom has four different atoms or groups of atoms attached to it.
7.3.1.1.8.2	This pattern allows for two different ways of making the attachments, each the mirror image of the other (Figure 3.2C).
7.3.1.1.8.3	Such a carbon atom is called an asymmetric carbon, and the two resulting molecules are optical isomers of one another.
7.3.1.1.8.4	You can envision your right and left hands as optical isomers.
7.3.1.1.8.5	Just as a glove is specific for a particular hand, some biochemical molecules that can interact with one optical isomer of a carbon compound are unable to    fit  ? the other.
7.3.1.1.9.1	Figure 3.2  Isomers
7.3.1.1.10.1	Isomers have the same chemical formula, but the atoms are arranged differently.
7.3.1.1.10.2	Pairs of isomers often have different chemical properties and functions.
7.3.1.2.1.1	The four kinds of biological macromolecules are present in roughly the same proportions in all living organisms (Figure 3.3).
7.3.1.2.1.2	Also, a protein that has a certain structure, and therefore function, in an apple tree probably has a similar structure and function in a human being, because the protein   s chemistry is the same wherever it is found.
7.3.1.2.1.3	This impressive biochemical unity reflects the evolution of all life from a common ancestor, by descent with modification.
7.3.1.2.1.4	An important advantage of biochemical unity is that some organisms can acquire needed raw materials by eating other organisms.
7.3.1.2.1.5	When you eat an apple, the molecules you take in include carbohydrates, lipids, and proteins that can be broken down and rebuilt into the varieties of those molecules needed by humans.
7.3.1.2.1.6	Figure 3.3  Substances Found in Living Tissues
7.3.1.2.2.1	Each kind of macromolecule performs one or more functions such as energy storage, structural support, catalysis (speeding up of chemical reactions), transport of other molecules, regulation of other molecules, defense, movement, or information storage.
7.3.1.2.2.2	These roles are not necessarily exclusive; for example, both carbohydrates and proteins can play structural roles, supporting and protecting tissues and organs.
7.3.1.2.2.3	However, only the nucleic acids specialize in information storage and transmission.
7.3.1.2.2.4	These macromolecules function as hereditary material, carrying the traits of both species and individuals from generation to generation.
7.3.1.2.3.1	investigatinglife
7.3.1.2.4.1	Making Spider Silk
7.3.1.2.5.1	experiment
7.3.1.2.6.1	Original Paper: Teule, F., Y.-G. Miao, B.-H. Sohn, Y.-S. Kim, J. Hull, M. J. Fraser, R. V. Lewis and D. L. Jarvis. 2012.
7.3.1.2.6.2	Silkworms transformed with chimeric silkworm/spider silk genes spin composite silk fibers with improved mechanical properties.
7.3.1.2.6.3	Proceedings of the National Academy of Sciences USA. 109: 923   928.
7.3.1.2.7.1	Spider silk is one of the strongest materials known, but it is very hard to harvest in quantity.
7.3.1.2.7.2	Industrial biologists are therefore using genetic engineering to produce the protein fibers.
7.3.1.2.7.3	The scientists have coaxed silkworms, insect larvae that make silk fibers used in clothing, to make a much stronger composite of silkworm and spider silk.
7.3.1.2.8.1	HYPOTHESIS  Genetically engineered silkworms can produce silk with physical properties like those of silk made by spiders.
7.3.1.2.9.1	METHOD
7.3.1.2.10.1	RESULTS
7.3.1.2.11.1	Both silks had identical physical properties of stress (force needed to break) and strain (stretching).
7.3.1.2.12.1	CONCLUSION   Silkworms can make composite silk fiber with the same properties as those of the native spider silk protein.
7.3.1.2.13.1	work with the data
7.3.1.2.14.1	Spider silk is a protein-based material that is very strong because of its secondary structure.
7.3.1.2.14.2	Because of its potential uses by humans, it is desirable to obtain large amounts of these fibers.
7.3.1.2.14.3	Spiders spin out the silk fibers for their web, but the amounts are insufficient for human use.
7.3.1.2.14.4	Silkworms make abundant silk fibers that are used in textiles but are much weaker than spider silk.
7.3.1.2.14.5	An international team of scientists led by Randy Lewis at the University of Wyoming genetically engineered silkworms to make composite silkworm&#x2013;spider silk fibers in large quantities.
7.3.1.2.14.6	They then tested the properties of these fibers and compared them with those of native spider silk.
7.3.1.2.15.1	QUESTIONS
7.3.1.2.16.1	To evaluate the properties of the protein fibers, researchers stretched them and measured the forces involved as well as the resulting lengthening of the fibers.
7.3.1.2.16.2	You can liken this to stretching a rubber band until it breaks.
7.3.1.2.16.3	Stress is the force required to break the fiber; it is measured in millipascals (mPa; 1 Pa is the force in newtons per unit area in m2).
7.3.1.2.16.4	Strain is a measure of how much the fiber lengthens (as a percentage of its original length).
7.3.1.2.16.5	Table A compares the results from silk from spiders and from genetically engineered silkworms.
7.3.1.2.16.6	Did the genetically engineered silkworms make fibers that were similar to native spider silk?
7.3.1.2.17.1	Why was thickness (diameter) reported in the data?
7.3.1.2.18.1	What statistical test would you perform to determine if the measured properties were significantly different (see Appendix B)?
7.3.1.2.19.1	The scientists measured the properties composite of spider silk compared with those of Kevlar (a synthetic fiber with many uses, including in bicycle tires, racing sails, and body armor) and steel.
7.3.1.2.19.2	The results are shown in Table B. What can you conclude about the spider silk?
7.3.1.2.20.1	Table A Silk Diameter (&#x03BC;m) Max. strain (%) Silkworms 21.8 &#x00B1; 1.6 22.0 &#x00B1; 5.8 Silkworms, gen. &#160;&#160;engineer. 21.1 &#x00B1; 1.4 31.8 &#x00B1; 5.2 Spiders &#160;&#160;8.1 &#x00B1; 0.4 19.7 &#x00B1; 4.8
7.3.1.2.21.1	Table B Material Energy required to break filament&#160;(joules/kg) Weight (g/mm3) Spider&#160;silk &#160;120,000 1.3 Kevlar &#160;&#160;&#160;40,000 1.4 Steel &#160;&#160;&#160;&#160;&#160;3,500 7.84
7.3.1.2.22.1	A similar work with the data exercise may be assigned in LaunchPad.
7.3.1.2.23.1	The sequence and chemical properties of the chain of monomers in a macromolecule determine its three-dimensional shape and function.
7.3.1.2.23.2	Some macromolecules fold into compact forms with surface features that make them water-soluble and capable of intimate interactions with other molecules.
7.3.1.2.23.3	Some proteins and carbohydrates form long, fibrous structures (such as those found in spider silk or hair) that provide strength and rigidity.
7.3.1.2.23.4	The specific structure of a macromolecule determines its function in a given environment, regardless of its origin.
7.3.1.2.23.5	For example, composite spider silk fiber made by another organism (e. g. , the silkworm, a moth larva) has the same properties as spider silk made by a spider (Investigating Life: Making Spider Silk).
7.3.1.3.1.1	Figure 3.4 Condensation and Hydrolysis of Polymers
